Genotype	survey_date	size	sizeNext	survival	population
BH_1_1	2023-07-03	2	4.7	1	BH
BH_1_1	2023-07-26	4.7	4.8	1	BH
BH_1_1	2023-08-02	4.8	4.9	1	BH
BH_1_1	2023-08-16	4.9	5.7	1	BH
BH_1_1	2023-08-23	5.7	4.9	1	BH
BH_1_1	2023-08-30	4.9	3.6	1	BH
BH_1_1	2023-09-06	3.6	4.4	1	BH
BH_1_1	2023-09-13	4.4	5.1	1	BH
BH_1_1	2023-09-20	5.1	5.6	1	BH
BH_1_1	2023-10-13	5.6	5.2	1	BH
BH_1_1	2023-10-20	5.2	NA	1	BH
BH_1_10	2023-07-03	2.5	3.1	1	BH
BH_1_10	2023-07-26	3.1	3.9	1	BH
BH_1_10	2023-08-02	3.9	2.7	1	BH
BH_1_10	2023-08-16	2.7	3.1	1	BH
BH_1_10	2023-08-23	3.1	3.1	1	BH
BH_1_10	2023-08-30	3.1	4	1	BH
BH_1_10	2023-09-06	4	5.9	1	BH
BH_1_10	2023-09-13	5.9	4.6	1	BH
BH_1_10	2023-09-20	4.6	4.3	1	BH
BH_1_10	2023-10-13	4.3	5.8	1	BH
BH_1_10	2023-10-20	5.8	NA	1	BH
BH_1_11	2023-07-03	2.4	NA	0	BH
BH_1_12	2023-07-03	1.9	5.1	1	BH
BH_1_12	2023-07-26	5.1	8.5	1	BH
BH_1_12	2023-08-02	8.5	5.6	1	BH
BH_1_12	2023-08-16	5.6	5.8	1	BH
BH_1_12	2023-08-23	5.8	6.4	1	BH
BH_1_12	2023-08-30	6.4	6.5	1	BH
BH_1_12	2023-09-06	6.5	6.1	1	BH
BH_1_12	2023-09-13	6.1	7.3	1	BH
BH_1_12	2023-09-20	7.3	7.9	1	BH
BH_1_12	2023-10-13	7.9	7.9	1	BH
BH_1_12	2023-10-20	7.9	NA	1	BH
BH_1_13	2023-07-03	1.9	3.3	1	BH
BH_1_13	2023-07-26	3.3	5.8	1	BH
BH_1_13	2023-08-02	5.8	3.6	1	BH
BH_1_13	2023-08-16	3.6	3.7	1	BH
BH_1_13	2023-08-23	3.7	3.7	1	BH
BH_1_13	2023-08-30	3.7	3.8	1	BH
BH_1_13	2023-09-06	3.8	3.3	1	BH
